date	steps
2016-01-01	2025
2016-01-02	7690
2016-01-03	10385
2016-01-04	7095
2016-01-05	4687
2016-01-06	2422
2016-01-07	8517
2016-01-08	11029
2016-01-09	3986
2016-01-10	847
2016-01-11	2898
2016-01-12	3952
2016-01-13	2643
2016-01-14	4285
2016-01-15	11187
2016-01-16	1900
2016-01-17	1226
2016-01-18	6160
2016-01-19	6094
2016-01-20	6278
2016-01-21	5188
2016-01-22	6037
2016-01-23	1988
2016-01-24	156
2016-01-25	5768
2016-01-26	4883
2016-01-27	4272
2016-01-28	5546
2016-01-29	7633
2016-01-30	2046
2016-01-31	800